牵	牽
谦	謙
骞	騫
钎	釺
悭	慳
佥	僉
鹐	鵮
枪	槍 鎗
锵	鏘
戗	戧
将	將
跄	蹌
锖	錆
镪	鏹
呛	嗆
抢	搶
玱	瑲
跷	蹺
锹	鍬
硗	磽
鳅	鰍
龟	龜
鹙	鶖
阙	闕
趋	趨
躯	軀
驱	驅
岖	嶇
觑	覷
诎	詘
扰	擾
软	軟
饶	饒
桡	橈
娆	嬈
荛	蕘
荣	榮
镕	鎔
绒	絨
嵘	嶸
蝾	蠑
铷	銣
颥	顬
热	熱
绕	繞
驲	馹
认	認
韧	韌
轫	軔
纫	紉
饪	飪
纴	紝
讱	訒
箬	篛
让	讓
锐	銳
缛	縟
润	潤
闰	閏
洒	灑 洒
伞	傘
馓	饊
锁	鎖
琐	瑣
唢	嗩
颡	顙
耸	聳
怂	慫
𪨊	㞞
损	損
笋	筍
薮	藪
随	隨
绥	綏
闪	閃
陕	陝
舍	舍 捨
驶	駛
沈	沈 瀋
审	審
婶	嬸
谂	諗
谉	讅
赏	賞
阇	闍
时	時
实	實
蚀	蝕
鲥	鰣
埘	塒
赎	贖
谁	誰
绳	繩
渑	澠
单	單
赡	贍
缮	繕
讪	訕
骟	騸
禅	禪
鳝	鱔
掸	撣
设	設
摄	攝
慑	懾
滠	灄
厍	厙
绍	紹
帅	帥
晒	晒 曬
试	試
势	勢
视	視
饰	飾
释	釋
轼	軾
弑	弒
谥	諡 謚
贳	貰
莳	蒔
铈	鈰
肾	腎
渗	滲
谌	諶
瘆	瘮
硕	碩
烁	爍
铄	鑠
税	稅
数	數
树	樹
术	術 朮
竖	豎
圣	聖
顺	順
寿	壽
兽	獸
绶	綬
杀	殺
纱	紗
鲨	鯊
刹	剎
铩	鎩
删	刪
姗	姍
钐	釤
掺	摻
赊	賒
烧	燒
筛	篩
师	師
诗	詩
湿	溼 濕
狮	獅
尸	屍 尸
虱	虱 蝨
鸤	鳲
酾	釃
浉	溮
鲺	鯴
闩	閂
双	雙
泷	瀧
骦	驦
绅	紳
参	參
诜	詵
糁	糝
鲹	鰺
伤	傷
殇	殤
觞	觴
书	書
输	輸
疏	疏 疎
枢	樞
纾	紓
摅	攄
声	聲
胜	勝
萨	薩
飒	颯
涩	澀
穑	穡
铯	銫
啬	嗇
扫	掃
赛	賽
饲	飼
驷	駟
厕	廁
颂	頌
诵	誦
讼	訟
岁	歲
谇	誶
诉	訴
肃	肅
谡	謖
骕	驌
鹔	鷫
擞	擻
叁	叄
毵	毿
骚	騷
缫	繅
鳋	鰠
鳃	鰓
丝	絲
厮	廝
锶	鍶
蛳	螄
咝	噝
缌	緦
鸶	鷥
飔	颸
缩	縮
丧	喪
松	松 鬆
虽	雖
苏	蘇 甦 囌
稣	穌
荪	蓀
狲	猻
搜	搜 蒐
馊	餿
飕	颼
锼	鎪
獭	獺
鳎	鰨
钽	鉭
讨	討
铤	鋌
颋	頲
觍	靦
椭	橢
铁	鐵
傥	儻
镋	钂 鎲
统	統
钍	釷
谈	談
谭	譚
坛	壇 罈
弹	彈
昙	曇
绹	綯
梼	檮
鼗	鞀
台	臺 檯 颱 台
抬	擡
苔	薹 苔
鲐	鮐
骀	駘
题	題
缇	緹
鹈	鵜
鳀	鯷
阗	闐
钿	鈿
团	團 糰
抟	摶
条	條
调	調
鲦	鰷
龆	齠
驼	駝
驮	馱
鸵	鴕
鼍	鼉
铜	銅
鲖	鮦
颓	頹
图	圖
涂	塗 涂
腾	騰
誊	謄
饨	飩
鲀	魨
挞	撻
闼	闥
阘	闒
叹	嘆 歎
铽	鋱
态	態
钛	鈦
屉	屜
绨	綈
粜	糶
箨	籜
萚	蘀
烫	燙
恸	慟
蜕	蛻
它	它 牠 祂
铊	鉈
摊	攤
贪	貪
滩	灘
瘫	癱
啴	嘽
涛	濤
韬	韜
焘	燾
绦	絛
听	聽 听
厅	廳
烃	烴
锑	銻
体	體
脱	脫
托	託 托
饦	飥
贴	貼
汤	湯
镗	鏜
铴	鐋
秃	禿
头	頭
铵	銨
袄	襖
媪	媼
霭	靄
蔼	藹
尔	爾
饵	餌
迩	邇
呕	嘔
额	額
鹅	鵝
讹	訛
锇	鋨
鳌	鼇 鰲
皑	皚
呒	嘸
鸸	鴯
鲕	鮞
饿	餓
锷	鍔
鳄	鱷
鹗	鶚
腭	齶
颚	顎
谔	諤
轭	軛
垩	堊
奥	奧
岙	嶴
骜	驁
爱	愛
碍	礙
瑷	璦
嫒	嬡
暧	曖
叆	靉
贰	貳
铒	鉺
怄	慪
锕	錒
腌	腌 醃
谙	諳
鹌	鵪
嗳	噯
锿	鎄 鑀
肮	骯
欧	歐
殴	毆
鸥	鷗
瓯	甌
沤	漚
讴	謳
区	區
儿	兒
挽	挽 輓
绾	綰
稳	穩
网	網
辋	輞
庑	廡
妩	嫵
怃	憮
鹉	鵡
伟	偉
伪	僞
炜	煒
纬	緯
玮	瑋
苇	葦
鲔	鮪
诿	諉
韪	韙
玩	玩 翫
顽	頑
纨	紈
闻	聞
纹	紋
阌	閿
无	無
吴	吳
芜	蕪
鹀	鵐
维	維
围	圍
韦	韋
违	違
潍	濰
帏	幃
闱	闈
沩	潙
涠	潿
袜	襪
腽	膃
问	問
揾	搵
卧	臥
龌	齷
务	務
误	誤
雾	霧
坞	塢
鹜	鶩
骛	騖
鋈	噁
为	爲
卫	衛
谓	謂
喂	喂 餵
猬	蝟
硙	磑
瓮	甕
洼	窪 洼
娲	媧
湾	灣
弯	彎
塆	壪
温	溫
辒	轀
蕰	薀
鳁	鰛 鰮
榅	榲
窝	窩
涡	渦
蜗	蝸
莴	萵
乌	烏
污	汙
钨	鎢
诬	誣
呜	嗚
邬	鄔
恶	惡
鳂	鰃
鹟	鶲
玺	璽
显	顯
险	險
藓	蘚
铣	銑
猃	獫
蚬	蜆
狝	獮
崄	嶮
选	選
癣	癬
响	響
饷	餉
飨	饗
晓	曉
鳕	鱈
许	許
诩	詡
浒	滸
辖	轄
峡	峽
侠	俠
狭	狹
硖	硤
镡	鐔
陉	陘
饧	餳
铏	鉶
席	席 蓆
习	習
袭	襲
觋	覡
鳛	鰼
贤	賢
咸	咸 鹹
闲	閒 閑
弦	弦 絃
衔	銜
娴	嫻
痫	癇
鹇	鷳 鷴
挦	撏
悬	懸
还	還
详	詳
协	協
携	攜
谐	諧
胁	脅
撷	擷
缬	纈
挟	挾
叶	葉 叶
颉	頡
鲑	鮭
学	學
泶	澩
峃	嶨
寻	尋
询	詢
浔	洵
洵	潯
鲟	鱘
荨	蕁
吓	嚇
厦	廈
衅	釁
系	係 系 繫
细	細
戏	戲
阋	鬩
饩	餼
绤	綌
忾	愾
屃	屭 屓
县	縣
线	線 綫
现	現
献	獻
宪	憲
馅	餡
羡	羨
苋	莧
岘	峴
见	見
晛	睍
铉	鉉
绚	絢
镟	鏇
向	向 嚮 曏
项	項
效	效 傚
啸	嘯
谢	謝
泄	洩
泻	瀉
亵	褻
绁	紲
写	寫
洩	泄 洩
绣	繡
锈	鏽
诇	詗
谑	謔
续	續
绪	緒
叙	敘
溆	漵
讯	訊
训	訓
逊	遜
驯	馴
孙	孫
虾	蝦
锌	鋅
兴	興
骍	騂
锡	錫
牺	犧
诶	誒
厘	釐 厘
鲜	鮮
仙	仙 僊
锨	鍁 杴
籼	秈
跹	躚
铦	銛
锬	錟
莶	薟
轩	軒
谖	諼
乡	鄉
厢	廂
镶	鑲
骧	驤
芗	薌
缃	緗
销	銷
萧	蕭
箫	簫
潇	瀟
枭	梟
骁	驍
绡	綃
哓	嘵
嚣	囂
鸮	鴞
蟏	蠨
蝎	蠍
馐	饈
鸺	鵂
凶	凶 兇
汹	洶
讻	訩
须	須 鬚
虚	虛
嘘	噓
顼	頊
谞	諝
媭	鬚 嬃
勋	勛 勳
熏	熏 燻
荤	葷
埙	壎 塤
瘾	癮
兖	兗
俨	儼
魇	魘
鼹	鼴
黡	黶
颖	穎
颍	潁
瘿	癭
蚁	蟻
钇	釔
舣	艤
养	養
痒	癢
涌	湧 涌
咏	詠
鲬	鯒
哕	噦
屿	嶼
伛	傴
俣	俁
龉	齬
铻	鋙
殒	殞
陨	隕
铕	銪
银	銀
龈	齦
訚	誾
龂	齗
严	嚴
岩	巖 岩
阎	閻
颜	顏
檐	檐 簷
铅	鉛
闫	閆
爷	爺
䥺	釾
铘	鋣
摇	搖
窑	窯
瑶	瑤
尧	堯
遥	遙
谣	謠
肴	肴 餚
鳐	鰩
轺	軺
侥	僥
铫	銚
峣	嶢
飖	颻
营	營
赢	贏
莹	瑩
蝇	蠅
萦	縈
萤	螢
滢	瀅
荧	熒
荥	滎
蓥	鎣
茔	塋
潆	瀠
仪	儀
遗	遺
颐	頤
贻	貽
诒	詒
饴	飴
